已清项目/未清项目符号,总账科目,总账科目长文本,冲销科目记帐,凭证类型,凭证编号,物料,行项目,过账日期,凭证日期,借/贷标识,过账码,业务范围,业务部门描述,本币金额,本币,以凭证货币计的金额,凭证货币,税码,业务地点,文本,客户,供应商,贸易伙伴名,税号 2,成本中心,名称,订单,分配,参考代码 1,参考代码 2,参考码3,清帐日期,清帐凭证,冲销科目类型
,21051109,其他应付款_一般,8000076,SA,1100001501,,138,2025/2/28,2025/2/28,H,31,1000,fashion common,"-10,191.78",CNY,"-10,191.78",CNY,,8000,计提信用证手续费20240927-20240930（CNY：2kw）新韩,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,139,2025/2/28,2025/2/28,H,31,1000,fashion common,"-2,958.90",CNY,"-2,958.90",CNY,,8000,计提信用证手续费20241029-20241031（CNY：6kw）新韩,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,140,2025/2/28,2025/2/28,H,31,1000,fashion common,"-27,616.44",CNY,"-27,616.44",CNY,,8000,计提信用证手续费20241001-20241028（CNY：6kw）新韩,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,142,2025/2/28,2025/2/28,H,31,1000,fashion common,"-29,589.04",CNY,"-29,589.04",CNY,,8000,计提信用证手续费20241101-20241130（CNY：6kw）新韩,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,143,2025/2/28,2025/2/28,H,31,1000,fashion common,"-9,863.01",CNY,"-9,863.01",CNY,,8000,计提信用证手续费20241101-20241130（CNY：2kw）新韩,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,144,2025/2/28,2025/2/28,H,31,1000,fashion common,"-39,452.05",CNY,"-39,452.05",CNY,,8000,计提信用证手续费20241101-20241130（CNY：8kw）国民,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,145,2025/2/28,2025/2/28,H,31,1000,fashion common,"-5,424.66",CNY,"-5,424.66",CNY,,8000,计提信用证手续费20241128-20241130（CNY：1.1亿）产业,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,146,2025/2/28,2025/2/28,H,31,1000,fashion common,"-61,150.68",CNY,"-61,150.68",CNY,,8000,计提信用证手续费202411（CNY：1.2亿）新韩连带保证金,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,148,2025/2/28,2025/2/28,H,31,1000,fashion common,"-30,575.34",CNY,"-30,575.34",CNY,,8000,计提信用证手续费20241201-20241231（CNY：6kw）新韩,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,149,2025/2/28,2025/2/28,H,31,1000,fashion common,"-10,191.78",CNY,"-10,191.78",CNY,,8000,计提信用证手续费20241201-20241231（CNY：2kw）新韩,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,150,2025/2/28,2025/2/28,H,31,1000,fashion common,"-5,260.27",CNY,"-5,260.27",CNY,,8000,计提信用证手续费20240927-20240930（CNY：8kw）国民,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,151,2025/2/28,2025/2/28,H,31,1000,fashion common,"-1,315.07",CNY,"-1,315.07",CNY,,8000,计提信用证手续费20240927-20240930（CNY：2kw）新韩,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,152,2025/2/28,2025/2/28,H,31,1000,fashion common,"-29,589.04",CNY,"-29,589.04",CNY,,8000,计提信用证手续费20240901-20240930（CNY：6kw）新韩,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,154,2025/2/28,2025/2/28,H,31,1000,fashion common,"-59,178.08",CNY,"-59,178.08",CNY,,8000,计提信用证手续费202409（CNY：1.2亿）新韩连带保证金,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,155,2025/2/28,2025/2/28,H,31,1000,fashion common,"-305,907.16",CNY,"-305,907.16",CNY,,8000,信用证手续费调整,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,157,2025/2/28,2025/2/28,H,31,1000,fashion common,"-50,958.90",CNY,"-50,958.90",CNY,,8000,计提信用证手续费202312（CNY：100000000）花旗,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,158,2025/2/28,2025/2/28,H,31,1000,fashion common,"-50,958.90",CNY,"-50,958.90",CNY,,8000,计提信用证手续费202312（CNY：100000000）国民,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,159,2025/2/28,2025/2/28,H,31,1000,fashion common,"-101,917.81",CNY,"-101,917.81",CNY,,8000,计提信用证手续费202312（CNY：200000000）韩国产业,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,160,2025/2/28,2025/2/28,H,31,1000,fashion common,"-35,671.23",CNY,"-35,671.23",CNY,,8000,计提信用证手续费202312（CNY：70000000）花旗,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,161,2025/2/28,2025/2/28,H,31,1000,fashion common,"-130,441.75",CNY,"-130,441.75",CNY,,8000,计提信用证手续费202312（USD：36000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,162,2025/2/28,2025/2/28,H,31,1000,fashion common,"-86,630.14",CNY,"-86,630.14",CNY,,8000,计提信用证手续费202312（CNY：170000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,163,2025/2/28,2025/2/28,H,31,1000,fashion common,"-31,226.51",CNY,"-31,226.51",CNY,,8000,计提信用证手续费202312（USD：8500000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,164,2025/2/28,2025/2/28,H,31,1000,fashion common,"-30,575.34",CNY,"-30,575.34",CNY,,8000,计提信用证手续费20240801-20240831（CNY：6kw）新韩,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,166,2025/2/28,2025/2/28,H,31,1000,fashion common,"-61,150.68",CNY,"-61,150.68",CNY,,8000,计提信用证手续费202408（CNY：1.2亿）新韩连带保证金,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,168,2025/2/28,2025/2/28,H,31,1000,fashion common,"-127,448.28",CNY,"-127,448.28",CNY,,8000,计提信用证手续费202309（USD：36000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,169,2025/2/28,2025/2/28,H,31,1000,fashion common,"-5,753.42",CNY,"-5,753.42",CNY,,8000,计提信用证手续费202309（CNY：70000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,170,2025/2/28,2025/2/28,H,31,1000,fashion common,"-83,835.62",CNY,"-83,835.62",CNY,,8000,计提信用证手续费202309（CNY：170000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,171,2025/2/28,2025/2/28,H,31,1000,fashion common,"-30,509.90",CNY,"-30,509.90",CNY,,8000,计提信用证手续费202309（USD：8500000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,172,2025/2/28,2025/2/28,H,31,1000,fashion common,"-16,438.36",CNY,"-16,438.36",CNY,,8000,计提信用证手续费202309（CNY：200000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,173,2025/2/28,2025/2/28,H,31,1000,fashion common,"-130,770.13",CNY,"-130,770.13",CNY,,8000,计提信用证手续费202308（USD：36000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,174,2025/2/28,2025/2/28,H,31,1000,fashion common,"-86,630.14",CNY,"-86,630.14",CNY,,8000,计提信用证手续费202308（CNY：170000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,175,2025/2/28,2025/2/28,H,31,1000,fashion common,"-31,305.12",CNY,"-31,305.12",CNY,,8000,计提信用证手续费202308（USD：8500000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,176,2025/2/28,2025/2/28,H,31,1000,fashion common,"-131,474.58",CNY,"-131,474.58",CNY,,8000,计提信用证手续费202307（USD：36000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,177,2025/2/28,2025/2/28,H,31,1000,fashion common,"-86,630.14",CNY,"-86,630.14",CNY,,8000,计提信用证手续费202307（CNY：170000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,178,2025/2/28,2025/2/28,H,31,1000,fashion common,"-31,473.76",CNY,"-31,473.76",CNY,,8000,计提信用证手续费202307（USD：8500000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,179,2025/2/28,2025/2/28,H,31,1000,fashion common,"-125,987.18",CNY,"-125,987.18",CNY,,8000,计提信用证手续费202306（USD：36000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,180,2025/2/28,2025/2/28,H,31,1000,fashion common,"-83,835.62",CNY,"-83,835.62",CNY,,8000,计提信用证手续费202306（CNY：170000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,181,2025/2/28,2025/2/28,H,31,1000,fashion common,"-30,160.13",CNY,"-30,160.13",CNY,,8000,计提信用证手续费202306（USD：8500000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,182,2025/2/28,2025/2/28,H,31,1000,fashion common,"-129,265.82",CNY,"-129,265.82",CNY,,8000,计提信用证手续费202305（USD：36000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,183,2025/2/28,2025/2/28,H,31,1000,fashion common,"-86,630.14",CNY,"-86,630.14",CNY,,8000,计提信用证手续费202305（CNY：170000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,184,2025/2/28,2025/2/28,H,31,1000,fashion common,"-30,945.00",CNY,"-30,945.00",CNY,,8000,计提信用证手续费202305（USD：8500000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,185,2025/2/28,2025/2/28,H,31,1000,fashion common,"-121,948.27",CNY,"-121,948.27",CNY,,8000,计提信用证手续费202304（USD：36000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,186,2025/2/28,2025/2/28,H,31,1000,fashion common,"-83,835.62",CNY,"-83,835.62",CNY,,8000,计提信用证手续费202304（CNY：170000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,187,2025/2/28,2025/2/28,H,31,1000,fashion common,"-29,193.25",CNY,"-29,193.25",CNY,,8000,计提信用证手续费202304（USD：8500000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,188,2025/2/28,2025/2/28,H,31,1000,fashion common,"-135,529.64",CNY,"-135,529.64",CNY,,8000,计提信用证手续费202303（USD：36000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
,21051109,其他应付款_一般,8000076,SA,1100001501,,189,2025/2/28,2025/2/28,H,31,1000,fashion common,"-86,630.14",CNY,"-86,630.14",CNY,,8000,计提信用证手续费202303（CNY：170000000）,,8000076,丰梵总部供应商,,,,,CN998,,,,,,
